TIME	20170603_W01	20170603_W02	20170603_W03	20170603_W05	20170603_W06	20170605_W06	20170605_W07	20170605_W08	20170605_W09	20170605_W10	20170605_W11	20180415_780_W06	20180415_780_W07	20180415_780_W08	20180415_780_W09	20180415_780_W10	20180421_DB_W07	20180421_DB_W08	20180421_DB_W09	20180421_DB_W10	20180421_DB_W11	20180421_DB_W12	20180421_NLO_W05	20180421_NLO_W06	20180421_NLO_W08	20180422_780_W06	20180422_780_W07	20180422_780_W08	20180422_780_W09	20180429_DB_W06	20180429_DB_W08	20180505_780_W05	20180505_780_W06	20180505_780_W07
71	5196.974	8986.164	6941.091	4595.164	8812.404	3703.353	3427.114	3448.8	2613.598	5593.998	3898.131	11287.672	14109.952	9776.312	2962.659	9170.957	5307.252	1890.265	10766.791	4836.963	11744.742	11269.277	14894.164	6340.395	16080.111	7893.633	10105.493	2087.192	11495.003	5680.258	12900.264	9218.896	3362.565	3922.584
72	5223.723	8999.902	6823.773	4563.17	8830.344	3757.469	3346.553	3429.087	2559.444	5472.492	3795.701	10987.836	13949.838	9457.736	2899.366	8742.367	5232.73	1904.532	10397.025	4777.695	11320.627	10894.132	14485.129	6207.205	15626.646	7825.828	9802.894	2059.643	11157.195	5683.043	12542.588	9195.352	3267.785	3977.954
73	5194.382	8940.25	6733.858	4497.523	8612.271	3671.513	3238.998	3362.507	2486.66	5304.849	3689.023	10291.033	13235.82	9061.66	2776.023	8337.734	5123.347	1883.151	9921.466	4676.918	10925.08	10519.497	14017.876	6171.777	15335.462	7501.096	9374.841	2013.296	10613.262	5664.15	12334.809	8723.378	3094.003	3800.557
74	5160.752	8732.307	6655.895	4489.229	8474.725	3656.339	3121.685	3306.746	2446.684	5110.416	3582.31	9924.601	12784.936	8910.125	2719.156	8211.521	4989.649	1873.443	9444.56	4570.009	10568.797	10130.792	13326.353	5999.689	14673.701	7256.549	8980.271	1980.446	10360.401	5601.913	12192.883	8476.708	3004.812	3762.466
75	5220.636	8653.822	6647.956	4468.167	8245.164	3619.835	3062.636	3217.502	2451.458	4969.444	3478.031	9422.125	12111.174	8653.44	2585.488	8002.224	4825.481	1842.337	8965.711	4454.637	10214.301	9826.15	12777.141	5793.27	14083.837	7022.055	8644.359	1957.879	10154.64	5508.77	12137.197	8082.393	2880.723	3658.835
76	5198.22	8366.853	6635.417	4468.295	8050.473	3458.99	2909.709	3145.754	2496.649	4848.365	3394.204	9174.348	11635.675	8768.25	2553.868	8307.561	4640.88	1824.54	8548.392	4302.571	9893.541	9553.482	12449.346	5583.548	13780.608	6673.86	8452.287	1976.133	10161.029	5419.325	12196.46	7822.155	2866.354	3638.225
77	5195.823	8211.635	6797.62	4462.717	7801.569	3335.48	2934.232	3087.848	2606.113	4753.365	3356.515	8883.339	10990.069	8856.308	2531.782	8523.503	4467.597	1798.656	8334.825	4121.281	9675.533	9404.55	12058.96	5409.305	13535.915	6422.527	8596.867	2038.44	10396.749	5404.482	12397.379	7614.457	2936.524	3653.584
78	5194.167	7957.021	6965.823	4514.871	7745.711	3200.206	3017.213	3016.183	2763.946	4712.126	3355.106	8919.06	10713.182	9428.846	2605.265	9236.34	4351.003	1788.031	8386.858	3963.126	9492.712	9240.287	12238.829	5301.651	13270.911	6146.311	8835.881	2112.867	10575.577	5410.609	12783.196	7385.824	3038.565	3669.146
79	5194.31	7882.483	7209.564	4577.847	7665.097	3078.689	3145.526	2971.865	2970.385	4704.227	3427.547	8963.255	10183.606	9948.243	2696.105	9767.643	4225.92	1814.501	8695.454	3831.388	9478.983	9207.497	12623.255	5213.542	13356.479	5981.209	9413.951	2201.374	10881.557	5463.806	13190.015	7331.55	3281.375	3792.514
80	5227.46	7885.587	7476.332	4632.981	7704.919	3015.946	3368.602	2940.765	3187.542	4765.514	3538.849	9222.008	9997.667	10655.164	2886.636	10581.325	4224.146	1822.973	9282.056	3742.558	9640.16	9159.531	13231.722	5276.353	13589.178	5782.226	10046.395	2305.366	11109.876	5637.727	13741.499	7172.826	3512.953	3846.767
81	5241.081	7950.329	7755.651	4705.818	7753.407	2956.031	3668.777	2922.249	3415.607	4808.504	3714.83	9765.271	9997.359	11345.659	3206.014	11236.858	4292.812	1844.902	10076.023	3653.294	9840.98	9093.938	13991.264	5295.55	13684.598	5584.674	10564.858	2373.329	10977.784	5894.225	14339.996	7383.754	3837.912	4065.279
82	5283.271	8107.884	7973.649	4736.652	7826.745	2872.787	3937.154	2941.979	3623.78	4859.166	3922.106	10120.442	9793.791	11705.852	3447.718	11546.354	4499.956	1885.962	11012.289	3608.302	10200.839	9071.441	14528.506	5296.974	13894.421	5544.05	11149.49	2410.658	10961.131	6210.526	14720.434	7374.736	4114.028	4166.961
83	5334.154	8396.336	8216.261	4808.765	7985.562	2972.21	4346.237	2952.255	3735.441	4860.496	4118.104	10781.728	9997.677	12212.724	3740.087	11921.841	4764.273	1945.958	11899.547	3577.995	10621.428	8999.491	15106.119	5379.772	14154.657	5421.525	11477.32	2435.633	10933.089	6549.952	14939.665	7506.002	4381.359	4374.187
84	5364.949	8638.35	8358.294	4817.877	8113.577	2974.225	4729.92	3000.975	3779.963	4852.062	4298.961	11016.211	9961.527	12057.291	3887.555	11839.185	5115.516	2020.616	12640.135	3577.715	10963.813	8981.078	15639.222	5413.416	14386.753	5403.643	11573.49	2418.753	10654.243	6889.894	15053.401	7590.693	4520.818	4460.591
85	5396.326	8751.802	8324.793	4818.526	8211.695	3021.252	5006.413	3058.829	3784.004	4810.101	4427.641	11477.792	10244.075	12127.645	4076.585	11809.142	5445.398	2118.535	13127.336	3615.795	11205.012	8855.012	15692.438	5322.861	14224.876	5318.001	11506.628	2397.743	10394.449	7146.684	15015.15	7471.33	4530.067	4476.644
86	5384.682	8843.985	8348.377	4797.57	8255.811	3093.73	5074.454	3093.457	3723.375	4745.414	4502.51	11628.601	10195.562	11928.729	4141.979	11346.715	5763.646	2207.272	13437.316	3632.058	11404.585	8718.888	15783.684	5310.408	14216.551	5147.431	11205.179	2336.991	9982.065	7325.729	14958.554	7561.403	4596.319	4563.708
87	5383.902	8839.851	8204.421	4780.213	8316.439	3159.233	5070.467	3106.509	3622.315	4640.086	4503.118	11591.707	10141.173	11589.73	4117.101	11110.915	5992.991	2307.253	13438.896	3624.789	11395.507	8502.957	15654.247	5151.124	13769.101	5039.561	10935.745	2307.618	9695.359	7409.457	14788.923	7423.11	4486.025	4567.27
88	5374.089	8744.039	8144.023	4736.069	8151.379	3167.082	5032.065	3118.589	3511.821	4520.896	4435.47	11480.219	10098.721	11402.617	4081.41	10722.853	6114.822	2376.433	13221.454	3593.099	11194.239	8241.117	15410.438	5002.972	13434.657	4960.259	10588.563	2236.208	9310.442	7402.236	14460.666	7310.089	4360.207	4524.635
89	5348.786	8553.587	7936.384	4700.147	8047.526	3144.651	4925.069	3087.746	3385.334	4398.139	4350.113	10980.979	9745.957	10795.296	3844.393	10145.732	6136.342	2457.12	12838.212	3522.913	10950.688	7947.116	14900.229	4827.824	13014.915	4814.872	10170.152	2191.512	8911.833	7229.523	14200.678	7006.539	4228.657	4411.671
90	5312.048	8381.264	7812.858	4670.887	7880.607	3084.413	4734.198	3037.356	3254.569	4220.433	4226.93	10668.204	9539.444	10499.642	3726.603	9859.971	6077.847	2483.443	12286.388	3426.989	10654.384	7657.419	14123.444	4615.511	12437.552	4691.459	9820.352	2191.898	8690.332	7064.392	13776.424	6726.298	4077.382	4353.802
91	5319.464	8247.049	7664.584	4624.53	7681.149	3070.354	4502.43	2989.461	3122.472	4088.047	4101.518	10039.252	9049.19	10010.363	3572.246	9372.464	5962.503	2490.663	11759.861	3324.048	10373.952	7384.048	13612.263	4423.564	11942.983	4465.042	9352.411	2136.455	8215.812	6804.413	13400.508	6396.281	3918.818	4267.402
92	5270.089	7986.72	7547.027	4623.835	7631.909	2988.798	4397.123	2916.277	3043.532	3971.705	3972.431	9674.576	8748.198	9834.836	3469.416	9226.938	5815.141	2471.469	11063.443	3195.35	9998.784	7103.636	13018.178	4244.151	11569.267	4283.937	9062.357	2147.295	7839.167	6518.891	13028.052	6119.974	3744.717	4196.549
93	5249.313	7835.597	7518.884	4594.924	7391.547	2913.064	4147.765	2843.889	2983.141	3862.974	3875.207	9180.839	8265.551	9650.955	3311.092	8986.023	5624.52	2437.436	10501.054	3082.368	9702.649	6863.135	12257.667	4068.192	11009.464	4127.846	8971.259	2178.784	7636.062	6245.977	12753.711	5890.999	3633.153	4115.755
94	5204.979	7602.708	7523.612	4632.726	7318.417	2766.353	4054.892	2789.215	2995.807	3774.028	3784.388	8851.348	7927.011	9729.93	3184.686	9176.508	5449.916	2390.612	10069.025	2970.72	9425.782	6670.748	11685.31	3978.764	10778.4	3970.824	8978.156	2207.635	7439.309	6047.704	12568.513	5597.124	3566.915	4049.683
95	5186.392	7523.937	7660.368	4683.36	7238.408	2699.063	4005.392	2738.263	3053.198	3696.38	3717.459	8718.205	7655.013	9978.02	3053.22	9395.404	5314.82	2370.747	9820.575	2879.115	9186.796	6465.213	11637.277	3957.92	10309.82	3851.942	9180.175	2268.561	7374.25	5949.579	12513.445	5439.51	3578.246	4061.544
96	5160.725	7422.929	7916.04	4749.331	7122.917	2654.405	3970.881	2689.359	3165.859	3653.831	3706.433	8545.522	7276.405	10206.464	2969.426	9658.064	5149.292	2316.727	9773.025	2799.276	8988.983	6304.699	11414.843	3878.259	9990.945	3738.197	9416.525	2301.981	7233.887	5956.794	12567.692	5215.076	3596.287	4030.203
97	5182.424	7437.127	8214.763	4820.392	7092.811	2517.653	4069.134	2663.346	3309.084	3628.973	3722.829	8724.206	7094.298	10801.235	2931.764	10153.033	5061.729	2302.146	9976.392	2734.06	8889.484	6233.522	11536.794	3943.84	9718.746	3692.787	9859.779	2386.936	7189.65	6171.272	12693.443	5105.835	3749.781	4093.189
98	5149.963	7388.845	8509.184	4923.431	7128.153	2492.746	4186.488	2645.137	3453.335	3581.237	3769.482	8669.173	6764.403	10991.344	2849.817	10298.884	5027.179	2283.606	10347.223	2715.554	8842.809	6157.017	11715.06	4031.883	9664.431	3677.618	10370.628	2434.84	7168.463	6460.056	12882.72	4947.176	3880.893	4071.159
99	5145.915	7464.999	8915.582	4997.814	7157.357	2466.381	4300.526	2641.135	3562.628	3537.511	3857.416	9001.851	6709.905	11400.062	2871.453	10609.998	5033.916	2261.699	10886.752	2674.12	8751.55	6101.562	11920.24	4060.081	9381.927	3648.49	10657.951	2469.411	7051.742	6857.354	13075.158	4843.132	4059.972	4163.17
100	5165.804	7579.574	9196.729	5079.163	7236.414	2430.737	4448.464	2644.115	3657.928	3494.066	3979.593	9247.444	6631.879	11597.542	2821.392	10687.183	5073.057	2262.746	11541.812	2664.296	8622.807	6013.953	11978.916	4070.638	9303.761	3619.389	10904.202	2494.071	7047.209	7254.468	13257.109	4753.028	4175.962	4185.813
101	5139.994	7612.962	9369.159	5165.51	7397.065	2426.978	4712.041	2647.765	3731.135	3443.542	4109.109	9413.976	6536.77	11608.751	2790.424	10726.122	5137.738	2248.669	12071.252	2654.408	8518.973	5925.372	12273.097	4172.46	9198.192	3587.504	10941.089	2499.463	6877.645	7602.922	13322.95	4669.26	4356.374	4214.529
102	5114.516	7666.771	9521.649	5161.503	7374.824	2411.436	4805.081	2655.039	3736.239	3363.809	4198.608	9727.934	6512.15	11697.557	2767.646	10746.329	5231.65	2262.721	12566.934	2649.508	8441.847	5888.831	12209.06	4132.111	8983.312	3560.896	10988.414	2538.802	6759.401	7896.321	13343.051	4625.425	4506.003	4286.633
103	5101.173	7633.85	9367.339	5126.844	7427.164	2387.797	4839.559	2646.022	3677.477	3288.53	4248.091	9661.492	6395.571	11286.948	2698.43	10404.535	5334.242	2276	12912.604	2637.867	8366.689	5803.273	12193.359	4131.593	8926.048	3557.6	10840.845	2550.312	6622.634	8059.445	13253.042	4578.297	4543.039	4269.352
104	5094.842	7602.5	9229.973	5072.364	7428.971	2381.907	4881.602	2643.55	3594.198	3188.174	4239.748	9880.319	6409.784	11095.552	2699.923	10250.166	5371.887	2269.026	12997.785	2619.062	8174.182	5664.376	12236.082	4094.777	8654.443	3457.45	10514.457	2554.202	6430.536	8034.998	13040.082	4445.763	4528.322	4248.566
105	5053.752	7554.366	9137.885	5021.429	7319.902	2369.883	4699.426	2614.328	3465.653	3092.78	4179.157	9615.857	6183.074	10480.302	2567.355	9697.858	5380.898	2271.958	12722.102	2565.843	7933.933	5544.323	11920.501	4009.13	8475.872	3411.601	10177.655	2560.784	6254.815	8009.713	12696.475	4338.116	4436.659	4190.468
106	5032.058	7387.519	8797.894	4973.615	7283.291	2304.925	4677.359	2564.697	3325.509	3009.269	4117.453	9481.415	6055.918	10167.073	2489.861	9427.729	5328.716	2258.983	12339.646	2525.766	7664.122	5393.063	11644.879	3900.531	8168.991	3411.199	10008.349	2571.464	6134.522	7771.582	12370.054	4175.113	4306.463	4103.767
107	5027.377	7356.72	8631.686	4895.498	7147.841	2265.667	4538.177	2519.354	3205.179	2901.722	4026.243	9188.214	5853.134	9835.237	2390.741	9094.514	5228.79	2234.174	11854.549	2475.192	7380.588	5262.17	11156.644	3756.947	7867.612	3312.092	9487.798	2527.934	5875.623	7513.032	11911.743	4097.573	4180.057	4014.84
108	5004.391	7255.218	8373.085	4857.904	7051.583	2246.265	4380.696	2485.675	3100.801	2845.215	3950.12	8859.563	5636.487	9344.67	2243.547	8677.901	5071.162	2189.958	11339.801	2401.837	7085.042	5114.321	10601.765	3652.074	7644.823	3230.145	9076.862	2488.52	5641.49	7198.504	11449.091	3925.152	3983.307	3911.39
109	4968.352	7180.202	8247.199	4788.821	6852.311	2196.199	4222.454	2432.22	2982.24	2748.912	3822.21	8622.342	5479.944	9147.09	2149.999	8512.891	4903.436	2139.926	10771.654	2358.817	6884.687	5003.3	10246.659	3570.226	7398.411	3129.193	8709.092	2444.989	5420.014	6884.58	11024.479	3796.954	3898.311	3856.393
110	4939.815	7032.872	8075.688	4778.201	6758.025	2140.059	4067.887	2392.177	2910.504	2682.963	3704.133	8186.039	5157.288	8834.185	2014.6	8215.041	4767.638	2117.911	10310.453	2296.125	6648.473	4866.323	9712.858	3437.023	7141.843	3114.51	8514.397	2480.763	5288.658	6651.935	10717.661	3653.734	3727.919	3727.304
111	4913.644	6940.592	8124.797	4790.235	6648.811	2087.709	3943.323	2328.37	2816.753	2620.933	3612.716	8051.386	5037.691	8919.518	1929.209	8276.684	4603.852	2070.712	9867.819	2242.325	6493.873	4772.598	9250.601	3387.864	6977.832	3096.039	8274.595	2502.477	5181.167	6396.576	10455.333	3512.977	3614.66	3709.169
112	4883.342	6902.348	8229.043	4874.206	6582.684	2022.509	3850.214	2295.283	2784.861	2566.519	3536.07	7775.543	4802.633	8916.981	1845.673	8290.698	4471.007	2026.506	9546.739	2214	6358.545	4686.652	9129.063	3404.252	6844.901	2992.344	8082.288	2481.779	4991.464	6248.082	10269.922	3427.31	3613.907	3689.272
113	4865.359	6784.233	8312.856	4981.232	6586.225	1983.1	3850.134	2292.915	2800.852	2547.419	3513.663	7512.766	4595.497	9096.64	1756.432	8388.585	4362.066	1970.787	9364.596	2195.761	6312.295	4630.813	8900.869	3421.633	6690.077	3001.858	8101.307	2518.469	4900.529	6206.019	10151.097	3312.346	3529.748	3669.797
114	4854.142	6778.555	8535.816	5087.058	6577.409	1941.321	3843.92	2277.196	2834.554	2531.143	3488.732	7495.57	4495.021	9454.243	1711.819	8640.398	4303.695	1937.76	9381.839	2184.026	6312.952	4603.157	8611.657	3465.326	6643.299	3024.052	8174.448	2573.005	4823.531	6316.247	10106.514	3254.204	3560.564	3740.668
115	4861.416	6714.436	8716.367	5213.564	6593.958	1893.199	3889.694	2296.304	2889.381	2535.486	3501.321	7380.471	4329.898	9545.732	1654.344	8711.518	4264.252	1879.816	9423.442	2169.147	6268.65	4562.402	8668.086	3584.773	6513.148	2968.818	8158.18	2605.598	4726.537	6464.315	10105.013	3169.542	3581.457	3743.064
116	4855.658	6714.54	8892.822	5336.171	6631.124	1847.861	4006.443	2276.027	2911.939	2517.395	3469.882	7556.085	4270.516	9806.308	1613.287	8979.232	4230.31	1833.353	9569.87	2165.222	6245.643	4543.86	8568.917	3691.022	6405.163	3022.82	8282.326	2651.079	4722.268	6720.109	10130.452	3121.952	3601.224	3825.171
117	4889.052	6764.515	8980.808	5450.128	6744.717	1848.215	4133.96	2300.332	2969.241	2528.642	3525.441	7560.532	4170.562	9822.232	1535.286	8975.475	4233.891	1797.75	9860.703	2168.354	6233.114	4534.405	8658.521	3837.036	6461.234	3028.96	8196.75	2669.326	4660.085	7048.553	10089.716	3073.535	3595.432	3848.823
118	4900.824	6787.053	9088.243	5499.239	6750.677	1838.178	4262.326	2296.264	2986.363	2517.399	3534.974	7726.665	4150.504	9949.041	1495.715	9151.363	4288.268	1768.816	10195.195	2179.407	6245.949	4519.924	8733.233	3923.046	6433.895	3071.158	8304.138	2716.172	4590.27	7344.353	10004.854	2997.932	3578.35	3882.27
119	4904.987	6788.865	8959.938	5519.463	6820.347	1821.971	4303.385	2267.268	2956.132	2481.519	3520.97	7818.588	4082.866	9827.19	1451.727	8999.414	4315.832	1733.444	10432.875	2185.86	6197.726	4493.876	8713.135	3959.994	6334.318	3098.059	8431.047	2756.474	4587.176	7570.831	9915.339	2986.015	3589.057	3948.191
120	4871.971	6694.885	8808.616	5496.921	6795.939	1798.608	4303.679	2220.291	2897.736	2443.114	3494.117	7838.98	4006.289	9726.355	1420.603	8863.362	4348.059	1706.393	10577.975	2171.623	6141.078	4437.405	8673.557	3967.52	6247.49	3070.78	8213.606	2725.586	4436.066	7791.653	9819.319	2931.57	3552.565	3867.1
121	4898.808	6708.685	8571.33	5430.45	6784.214	1787.659	4266.193	2202.688	2828.27	2414.769	3467.932	7978.243	4010.363	9518.428	1384.98	8784.63	4362.454	1691.301	10520.266	2159.472	5998.264	4372.335	8754.548	4006.928	6131.866	3063.408	8038.176	2709.763	4300.476	7912.937	9645.394	2907.484	3539.525	3874.508
122	4887.169	6701.76	8394.5	5390.339	6773.534	1781.931	4201.8	2164.882	2749.392	2399.379	3415.816	7867.943	3893.451	9205.542	1328.01	8341.481	4315.529	1643.21	10284.16	2122.598	5861.226	4300.52	8521.055	3925.235	6016.186	3074.688	8035.227	2713.66	4286.408	7858.532	9375.95	2856.476	3443.854	3775.845
123	4849.494	6616.196	8194.801	5327.254	6655.342	1757.913	4098.514	2118.13	2649.925	2353.579	3335.514	7937.948	3876.931	9161.85	1289.2	8187.734	4273.636	1614.49	9945.898	2089.615	5692.691	4218.212	8380.144	3907.338	5916.143	3013.32	7559.825	2608.878	4143.557	7724.057	9061.752	2784.519	3303.889	3654.187
124	4856.534	6623.429	7950.646	5238.785	6553.791	1736.41	3958.746	2086.905	2548.776	2326.149	3234.747	7632.1	3715.828	8749.951	1226.886	7731.04	4107.187	1564.975	9543.105	2029.004	5494.6	4126.553	8139.771	3788.091	5684.131	2984.945	7392.311	2584.065	4061.451	7567.545	8761.912	2714.108	3173.962	3543.344
125	4839.539	6573.711	7751.669	5195.351	6514.169	1730.605	3830.977	2049.352	2458.181	2292.604	3170.323	7513.483	3646.348	8657.712	1176.681	7536.594	4006.145	1528.102	9171.999	1987.892	5307.364	4050.177	7856.022	3646.3	5543.237	2954.486	7110.007	2536.001	3953.544	7365.126	8455.629	2661.339	3050.054	3421.762
126	4798.51	6467.451	7595.7	5165.824	6430.687	1699.337	3672.114	2030.187	2372.524	2258.523	3076.15	7318.705	3528.72	8403.158	1125.38	7250.529	3913.366	1503.852	8805.347	1963.582	5169.797	3961.249	7669.113	3611.686	5503.679	2903.797	6878.146	2531.501	3865.389	7094.658	8174.486	2630.838	2983.442	3357.133
127	4767.485	6416.878	7516.232	5133.883	6340.693	1678.65	3570.108	2012.171	2297.659	2236.172	3006.25	7026.505	3417.608	8280.312	1076.63	7076.822	3788.556	1475.975	8460.172	1925.784	5045.384	3880.542	7408.494	3494.749	5337.907	2903.484	6777.813	2541.147	3890.749	6854.488	7918.243	2563.474	2883.239	3271.67
128	4752.607	6372.285	7548.172	5141.451	6280.828	1675.45	3462.481	2001.123	2240.147	2222.197	2948.408	6915.724	3363.435	8317.847	1047.16	7043.454	3701.582	1443.433	8133.026	1904.12	4969.294	3811.171	7104.084	3375.12	5275.242	2814.208	6353.358	2483.512	3715.421	6680.322	7726.232	2539.794	2884.195	3301.32
129	4745.662	6389.539	7641.287	5145.03	6204.574	1646.366	3395.79	1994.794	2214.255	2207.969	2907.333	6602.993	3234.065	8152.626	1008.48	6895.495	3628.241	1411.481	7885.704	1887.403	4968.125	3777.245	6901.854	3367.293	5304.546	2805.422	6254.494	2536.865	3698.962	6477.202	7577.866	2492.722	2835.432	3259.165
