TIME	20170603_W01	20170603_W02	20170603_W03	20170603_W05	20170603_W06	20170605_W06	20170605_W07	20170605_W08	20170605_W09	20170605_W10	20170605_W11	20180415_780_W06	20180415_780_W07	20180415_780_W08	20180415_780_W09	20180415_780_W10	20180421_DB_W07	20180421_DB_W08	20180421_DB_W09	20180421_DB_W10	20180421_DB_W11	20180421_DB_W12	20180421_NLO_W05	20180421_NLO_W06	20180421_NLO_W08	20180422_780_W06	20180422_780_W07	20180422_780_W08	20180422_780_W09	20180429_DB_W06	20180429_DB_W08	20180505_780_W05	20180505_780_W06	20180505_780_W07
17	4488.912	4745.683	4200.811	4349.299	5035.003	2216.615	1689.456	1899.924	1575.254	2650.656	1887.338	4324.006	4867.289	4754.1	1002.191	4409.186	1682.016	974.663	3225.772	2151.594	2752.472	4779.248	5311.438	2012.566	5784.216	2953.899	4406.43	1076.115	3968.668	2034.666	5797.034	3041.377	1567.718	1076.42
18	4461.054	4696.553	4171.594	4349.376	5111.763	2250.586	1681.432	1906.188	1616.7	2622.04	1977.337	4298.136	4875.591	4859.586	1006.102	4426.424	1720.032	1011.233	3360.566	2253.23	2951.869	4889.072	5454.19	2038.46	6301.893	2944.022	4589.866	1110.167	3917.607	2144.742	5902.885	2938.754	1528.801	1079.893
19	4446.608	4693.612	4157.481	4329.169	5197.335	2168.325	1669.325	1880.213	1624.313	2604.04	2010.196	4392.173	4937.75	5003.366	1012.538	4582.148	1747.366	1033.602	3450.779	2382.455	3146.494	4956.403	5793.814	2035.485	6731.411	2996.314	4725.589	1143.62	3972.574	2245.829	5892.876	3009.09	1521.423	1116.081
20	4426.985	4686.731	4169.068	4303.523	5299.718	2144.135	1656.786	1904.805	1638.688	2628.179	2061.322	4359.256	4804.543	4985.803	997.836	4722.87	1750.15	1069.31	3501.622	2533.591	3341.353	4993.739	6247.965	2040.679	6904.097	2987.818	4826.928	1219.385	4198.111	2329.248	5828.33	3129.443	1485.023	1126.688
21	4403.496	4674.492	4173.604	4300.273	5412.802	2146.286	1671.661	1925.133	1652.73	2706.023	2087.142	4533.994	4876.908	5111.754	1002.628	5111.746	1749.307	1094.828	3526.602	2673.116	3531.118	4954.282	6688.013	2009.742	6972.294	2901.925	4630.18	1246.114	4468.581	2358.298	5729.229	3293.436	1433.259	1129.202
22	4389.582	4725.968	4173.484	4282.602	5544.139	2168.803	1715.926	1971.077	1649.03	2827.574	2115.419	4778.63	4852.215	5069.358	1001.393	5359.804	1716.094	1099.73	3544.501	2785.662	3654.52	4867.408	7226.232	2076.032	7076.083	2914.65	4540.216	1282.199	4939.155	2396.054	5643.31	3626.911	1417.043	1117.666
23	4398.358	4855.343	4189.481	4239.129	5652.276	2212.948	1791.801	2035.387	1669.138	2987.176	2126.409	5140.878	5054.447	5132.342	1006.425	5690.286	1716.042	1079.022	3575.121	2829.532	3789.635	4822.588	7612.275	2098.829	6931.842	2965.605	4445.924	1287.877	5326.925	2449.758	5638.233	3854.98	1378.348	1086.135
24	4409.849	5038.658	4234.61	4241.261	5788.587	2269.485	1874.229	2086.14	1675.039	3145.12	2151.76	5572.346	5381.242	5206.305	1018.62	5778.098	1738.807	1083.28	3694.644	2833.378	3942.659	4794.244	7779.366	2177.019	6821.401	3144.777	4422.502	1293.724	5758.91	2477.104	5742.293	4090.646	1412.789	1075.834
25	4422.823	5225.57	4280.295	4262.081	5925.326	2342.895	1944.922	2134.841	1675.399	3271.409	2196.42	5874.628	5765.404	5413.334	1055.731	5879.736	1816.26	1088.075	3900.122	2818.219	4034.13	4929.915	7964.784	2260.637	6734.412	3504.117	4651.073	1297.901	6023.301	2471.447	5984.509	4324.486	1487.26	1061.162
26	4485.298	5454.541	4322.771	4271.13	6033.182	2414.144	1999.755	2175.806	1710.278	3389.401	2267.115	6275.079	6275.905	5835.19	1092.603	5830.146	1937.946	1074.62	4216.754	2759.428	4091.058	5215.572	7868.718	2324.687	6914.569	3776.968	4789.126	1246.871	6073.102	2499.954	6382.92	4337.025	1588.76	1030.219
